Director_name,
John Lasseter,
Joe Johnston,
Mark Steven Johnson,
Terry McMillan,
Charles Shyer,
Michael Mann,
Sydney Pollack,
Peter Hewitt,
Peter Hyams,
Martin Campbell,
Rob Reiner,
Mel Brooks,
Simon Wells,
Oliver Stone,
Renny Harlin,
Martin Scorsese,
Ang Lee,
Quentin Tarantino,
Steve Oedekerk,
Joseph Ruben,
Barry Sonnenfeld,
Jon Amiel,
Lana Wachowski,
Victor Salva,
Mike Figgis,
Oliver Parker,
Lesli Linka Glatter,
Roger Michell,
Marc Caro,
Zhang Yimou,
John N. Smith,
Terry Gilliam,
Jean-Jacques Annaud,
Chris Noonan,
Christopher Hampton,
Tim Robbins,
Stephen Low,
Andy Tennant,
Amy Heckerling,
Darrell James Roodt,
Richard Loncraine,
Albert Hughes,
Michael Hoffman,
Paul W.S. Anderson,
Gus Van Sant,
Jocelyn Moorhouse,
David Fincher,
Eric Goldberg,
Patricia Rozema,
Bryan Singer,
Richard W. Munchkin,
Woody Allen,
Gianni Amelio,
Holly Goldberg Sloan,
Ulu Grosbard,
Robert Tinnell,
Jodie Foster,
Michael Radford,
Robert Lepage,
Frank Oz,
John Schlesinger,
Stephen Herek,
Paris Barclay,
Bill Bennett,
Mitchell Peck,
Farhad Mann,
James Foley,
Josiane Balasko,
Ice Cube,
Robert Rodriguez,
Andrew Sipes,
Noah Baumbach,
Claude Lelouch,
Michael Goldenberg,
Steve Miner,
Christian Duguay,
Susanne Ofteringer,
Sean Penn,
Brian Gibson,
Jafar Panahi,
Gary Fleder,
Marleen Gorris,
Tim Reid,
Henry Jaglom,
Philip Haas,
Ridley Scott,
John Hopkins,
Penelope Spheeris,
John Badham,
John Duigan,
Stephen Frears,
Wes Craven,
Ted Demme,
John Woo,
Kenneth Branagh,
Mathieu Kassovitz,
Nick Broomfield,
Harold Becker,
Wes Anderson,
Nick Castle,
John Dahl,
Dennis Dugan,
Clint Eastwood,
Doris D�rrie,
Brian Henson,
Robert Leacock,
James Bruce,
Randall Wallace,
Stanley Tong,
Barbet Schroeder,
Mort Ransen,
�tienne Chatiliez,
Jon Blair,
Benjamin Ross,
Eric Schaeffer,
Andrew Davis,
Charles T. Kanganis,
Reginald Hudlin,
Wong Kar-wai,
Giuseppe Tornatore,
David O. Russell,
Michael Ende,
Moufida Tlatli,
Michel Negroponte,
Bryan Gordon,
Rebecca Miller,
Michael Lindsay-Hogg,
William Friedkin,
�ngel Mu�iz,
Craig Baldwin,
David S. Ward,
Mark Rappaport,
Dirk Shafer,
Terence Davies,
Sandip Ray,
Jon Avnet,
Mike Nichols,
Jerzy Kaszubowski,
Jakov Sedlar,
Edward Burns,
Michael Bay,
Christopher Cain,
Jim Carroll,
Mike Newell,
Hal Hartley,
Ron Howard,
Michael Caton-Jones,
Abel Ferrara,
Bob Kane,
Luis Bu�uel,
John Boorman,
Paul Auster,
Michael Moore,
Deanna Oliver,
Spike Lee,
Michael Crichton,
Michael Schiffer,
Terry Zwigoff,
Carl Franklin,
John McTiernan,
Gregg Araki,
Christopher Menaul,
William Nicholson,
Dwight H. Little,
Iain Softley,
Christopher Ashley,
Robert Longo,
William Wisher Jr.,
John Fortenberry,
Larry Clark,
Tom DiCillo,
Clive Barker,
Denys Arcand,
Antonia Bird,
Kevin Smith,
Bryan Spicer,
David Anspaugh,
Anthony Waller,
Michael Almereyda,
Irwin Winkler,
Chris Columbus,
Daisy von Scherler Mayer,
Gregory Widen,
Norman Ren�,
Todd Haynes,
Roland Joff�,
Brian Robbins,
Paul Verhoeven,
Lasse Hallstr�m,
Dennis Feldman,
James Keach,
James Cameron,
Jacques Demy,
Wesley Strick,
Martha Coolidge,
Agnieszka Holland,
Beeban Kidron,
J. F. Lawton,
Diane Keaton,
Douglas Keeve,
Alfonso Ar�u,
Kevin Reynolds,
Desmond Nakano,
Walter Hill,
Greg Beeman,
Nikita Mikhalkov,
Milcho Manchevski,
Richard Linklater,
Tamra Davis,
Guy Ferland,
Herbert Ross,
Peter Horton,
Stuart Gordon,
Pat OConnor,
Jeremy Leven,
Barry Levinson,
Ren� Bonni�re,
Peter Barsocchini,
Jack Baran,
Roman Polanski,
Taylor Hackford,
Peter Farrelly,
Atom Egoyan,
Garry Marshall,
Rudolph Grey,
Lawrence Kasdan,
Billy Crystal,
Phillip Borsos,
Paul Brizzi,
Brett Leonard,
Carlo Carlei,
G�rard Corbiau,
Dick Chevillat,
Art Clokey,
Charles Burnett,
Steve James,
Peter Jackson,
Randall Miller,
Bernard Rose,
Steven Brill,
Fred Schepisi,
Anne Rice,
James Ivory,
James Melkonian,
Ivan Reitman,
Arne Glimcher,
Michael Gottlieb,
George Lucas,
Gillian Armstrong,
Alfonso Cuar�n,
Ken Loach,
Claude Chabrol,
Laura Esquivel,
Edward Zwick,
James Gray,
Allison Anders,
Glenn Gordon Caron,
Stephen Gyllenhaal,
Nicholas Hytner,
James Orr,
Nora Ephron,
Richard Benjamin,
Les Mayfield,
David Frankel,
Gregory Nava,
Marc Rocco,
Robert Benton,
Michael Apted,
Nick Gomez,
Tōru Murakawa,
Vadim Jean,
Albert Pyun,
Alan Jacobs,
Norman Jewison,
Alan Duff,
Anne Goursaud,
Wolfgang Petersen,
Luc Besson,
Mira Nair,
Joshua Brand,
Mario Van Peebles,
Robert Redford,
Kayo Hatta,
Patrice Chéreau,
Sam Raimi,
Max Apple,
Robert Altman,
Krzysztof Kieślowski,
He Ping,
Fred Gerber,
George Mihalka,
Al Franken,
Richard Rich,
John Sayles,
Luis Llosa,
Roland Emmerich,
John Pasquin,
Frank Darabont,
Danny Boyle,
David Siegel,
Senel Paz,
George Huang,
David Stevens,
Kelly Makin,
Rachel Talalay,
Ernest R. Dickerson,
David Carson,
Rusty Cundieff,
Brian Gilbert,
John Carpenter,
Peter Segal,
Louis Malle,
Steven Soderbergh,
Preston A. Whitmore II,
Peter Hedges,
Jon Turteltaub,
Mina Shum,
P.J. Hogan,
Melanie Mayron,
Tom Shadyac,
Stephan Elliott,
Phillip Noyce,
Joel Schumacher,
Jessie Nelson,
Alex Proyas,
Ron Shelton,
Brian Levant,
Robert Zemeckis,
John Singleton,
Darnell Martin,
Andrew Bergman,
Stephen Sommers,
Ray Müller,
Rob Minkoff,
Bernardo Bertolucci,
Chuck Russell,
Roy Huggins,
Alan Rudolph,
Ben Stiller,
Donald Petrie,
Robert Allan Ackerman,
Curtis Hanson,
Jan de Bont,
Ron Underwood,
Luis Mandoki,
Damian Harris,
Suri Krishnamma,
Jefery Levy,
Keenen Ivory Wayans,
Raoul OConnell,
Yves Angelo,
Russ Meyer,
Doug McHenry,
Dave Borthwick,
Steven E. de Souza,
Wallace Wolodarsky,
Michael A. Nickles,
Paul Warner,
Vincent Robert,
Theodore Thomas,
Lucas Platt,
Ross Kagan Marks,
Paul Williams,
Robert Wuhl,
Roberto Sneider,
Jefri Aalmuhammed,
Andrew Morahan,
Michael Corrente,
John G. Avildsen,
Jeff Pollack,
Charles Addams,
Thomas Schlamme,
Michael Lehmann,
Paul Michael Glaser,
Jonathan Kaplan,
Whit Stillman,
Bill Forsyth,
Daniel Petrie Jr.,
Caroline Thompson,
Stephen Hopkins,
Rama Laurie Stagner,
Jennifer Chambers Lynch,
Robert De Niro,
Adam Resnick,
John Whitesell,
Brian De Palma,
Paul Weiland,
Mick Jackson,
Steve Barron,
Richard Rush,
Michael Ritchie,
William D. Wittliff,
Robert Reneau,
Bruce Brown,
Carl Reiner,
Chen Kaige,
Rafael Yglesias,
Alek Keshishian,
Steve Kloves,
John Irvin,
Simon Wincer,
Boaz Yakin,
David Twohy,
John Milius,
Roger Donaldson,
Howard Deutch,
Rose Troche,
Bruce Beresford,
Larry Cohen,
Jim Abrahams,
Julianna Lavin,
Christopher Monger,
Bille August,
Takashi Bufford,
Joel Coen,
James L. Brooks,
Jeff Maguire,
Jim Sheridan,
Matty Rich,
Lewis Colick,
Dominic Sena,
Roger Avary,
Daniel Petrie,
James Lapine,
Paul Hogan,
David Cronenberg,
Mel Gibson,
Allen Hughes,
Stuart Baird,
Nagisa Ōshima,
Tom Noonan,
Anthony Minghella,
Mike Leigh,
Robert Mark Kamen,
Michael Tolkin,
Alan Zweibel,
Sally Potter,
Ron Nyswaner,
Jane Campion,
Stuart Orme,
Mel Smith,
Marie Weiss,
Penny Marshall,
Philip Kaufman,
Alan Parker,
Fred Dekker,
Peter Medak,
Geoffrey Wright,
Victor Nunez,
Tim Hunter,
Cyril Collard,
Steven Spielberg,
Steven Zaillian,
David Cook,
John Waters,
Walter B. Gibson,
Richard Attenborough,
Gillies MacKinnon,
Susan McMartin,
Rowdy Herrington,
Arthur Joffé,
Annabel Jankel,
Deran Sarafian,
François Girard,
Andrew Fleming,
Henry Selick,
George P. Cosmatos,
Heywood Gould,
Tony Scott,
Chris Hegedus,
Maurice Hunt,
Tom Walmsley,
Jennifer Warren,
Mark Malone,
Todd Solondz,
Claude Berri,
Joe Batteer,
Guillermo del Toro,
Daniel Algrant,
Pedro Almodóvar,
Gurinder Chadha,
Andrew Scheinman,
Åke Sandgren,
Eva Sereny,
Lina Wertmüller,
RÃ©my Duchemin,
George T. Miller,
Graziano Diana,
Michael Austin,
Vito Russo,
Nanni Moretti,
María Luisa Bemberg,
Betty Thomas,
Jerry Zucker,
Daan Jippes,
Kevin Costner,
Steve Cohen,
Jonathan Demme,
Ferdinand Horvath,
Kirk Wise,
Martin Provensen,
Yuri Mamin,
Walon Green,
C.M. Talkington,
Huang Jianxin,
Jean Bach,
Sam Weisman,
Bill Condon,
Stephen Poliakoff,
David R. Ellis,
Jean Giraud,
Kevin Yagher,
Matt Reeves,
Franco Zeffirelli,
Anna Campion,
Franco Brusati,
Wolfgang Reitherman,
Fernando Trueba,
Bill Couturié,
Werner Herzog,
André Téchiné,
Vern Oakley,
Mika Kaurismäki,
Férid Boughedir,
Martin Lawrence,
Stacy Title,
Gregory Hoblit,
Clément Virgo,
Bruno Barreto,
Larry Leker,
Hal Salwen,
